project_name,project_sector
24 inch X 15Km Natural Gas Transmission Pipeline from Ibafo Valve Station to Lagos Industrial Area (LIA) City Gate.,Oil & Gas
"Construction of National Drug Law Enforcement Agency (NDLEA)  Barracks in Gwaska Community, off Umaru Yar'Adua Way Abuja.",Infrastructure
"Construction of National Drug Law Enforcement Agency (NDLEA)  Barracks at Itoga Community along Lagos-Badagry Expressway, Opposite Mobil Filling Station and Princess Paints in Badagry LGA.",Infrastructure
"Construction of National Drug Law Enforcement Agency (NDLEA)  Barracks in Gombe-Yola Highway at Kwanan Waya,  Namtari Community, Yola, Yola North LGA ",Infrastructure
"Tin, Columbite, Tantalite, Gold and Marble Mining (29697SSML) at AMAC Abuja",Mining
Aircraft Hanger Terminal at Murtala Muhammed International Airport,Infrastructure
National Guidelines on Resettlement Action Plan (RAP),Others
"Primavera Chemical Factory Complex in Oke Aro, Ifo LGA",Manufacturing
Construction of 39000tons Storage Capacity of LPG Marine Terminal at Onne Port Complex,Infrastructure
"Lithium Mineral Exploration (40426EL) at Endo Village, Nasarawa LGA ",Mining
Development of Solar Hybrid Mini Grid in Ajebambo Community(Ondo West LGA) and Ago Daada (Akure North LGA),Renewable Energy
"Aviation Fuel Deport Plot Cp 94, Sector Centre B Layout, Kuje LGA",Infrastructure
"Bulk Petroleum Storage Deport in Abiakowo Ebughu, Mbo LGA",Oil & Gas
"Solar Mini-Grids in (Adamu Agyo, Arugbadu Gida and Kampani) Lafia East, (Bakyano) Nasarawa Eggon  and  (Amaku) Doma LGAs",Renewable Energy
"Scope Expansion of 150,000 to 200,000 BPD BUA Refinery and Petrochemical Project at Ntaikank, Ibeno LGA",Oil & Gas
Construction of Africa Centre of Excellence for Sustainable Power and Energy Development (ACE-SPED) Services Core Building and Hostel Renovation,Infrastructure
"Ogun State Special Industrial Zone (Phase 1A,B and C) in Ikenne and Remo North LGAs",Infrastructure
"Ogun State Special Industrial Zone (SIZ) in Ikenne, Shagamu and Remo North LGAs ",Infrastructure
National Facilitation Committee on Road Transport and Transit (NFCRTT) Ecowas,Others
Solar Mini Grid Development in  (Imane  Community) Olamaboro LGA (Unweli and Uname  Communities) Ibaji LGA (Alla Ejima  Community) Ofu LGA (Icheke  Community) Omala LGA ( Odagba  Communities) Ankpa LGAand ( Agojeju and Onyakoji  Communities) Dekina LGA,Renewable Energy
"Solar Mini Grid Development in  (Imoru, Ijagba and Ute  Communities) Ose LGA (Idi Iroko Community) Ile Oluji/Oke Igbo LGA (Igbekebo and Agadagba  Communities) Ese Odo LGA (Ala Ajagbusu  Community) Akure North LGA and (Bolorunduro Community) Ondo East LGA",Renewable Energy
 Construction of Aviation Fuel Storage Depot at Nnamdi Azikiwe International Airport,Infrastructure
Glass Factory Project,Manufacturing
Assa North Ohaji South (ANOH) Gas Plant Project,Oil & Gas
"Construction and Operations of Abat Truck Park at Orile-Iganmu, Surulere LGA",Infrastructure
Rehabilitation of The 4000HA Adani Irrigation Facility at Uzo-Uwani LGA.,Infrastructure
"Solar Mini Grid Across15 Communities in  Buji, Birnin Kudu and Ringim LGAs",Renewable Energy
" Construction of Africa Centre of Excellence on Technology Enhanced Learning at National Open University, Jabi, Abuja Municipal Area Council (AMAC) ",Infrastructure
"Development of Port Facility at Oil and Gas Free Zone, Federal Ocean Terminal, Onne Port Complex, Eleme LGA",Infrastructure
Rural Access and Agricultural Marketing Project (RAAMP),Others
Sub Committee on Sustainable Blue Economy in Nigeria,Others
Steering Committee on Rehabilitation and Reconstruction of Port Harcourt - Maiduguri Eastern Narrow Guage Rail Way with New Branch Lines and Transshipment Facility,Infrastructure
Oloye Marginal Field Development Plan (PPL 245) in Warri North LGA,Oil & Gas
"Uduwa Lithium & Gemstone Mining Processing Plant at Uduwa, Chikun LGA",Mining
Development of 100kwp Solar Mini - Grid each at Abbare & Mayo - Lope Communities in Lau LGA,Renewable Energy
"Mining & Processing of Cassiterite, Columbite, Aquamarine, Topas, Zircon at Tafawa-balewa LGA",Mining
"CNG Downloading and Storage for Power Generation at Isolo Industrial Estate, Oshodi Isolo LGA",Oil & Gas
Full Scope Development of Arterial Road N16 from Ring Road II (RRII) to Ring Road III (RRIII) with 2NO Interchange Structures at the N16/RRII& N16/RRIII Interchanges at AMAC,Infrastructure
"Shoreline Protection of Amassoma Shores Design and Construction of Section 1,2 & 3 Amassoma in Southern Ijaw LGA",Infrastructure
"Construction of Otuogari-Otuegwe Bridge Across Ekole Creek, Ogbai LGA",Infrastructure
Construction of 10km Ayama-Ebeni-Akeddei-Ogboinbiri Road in Southern Ijaw LGA,Infrastructure
Construction of Aifuwa Street Upper Sokponba Road (Phase 1) Ikpoba-Okha LGA,Infrastructure
Construction of Usugbenu Internal Road (Lot 1-3) in Edo Central Senatorial District,Infrastructure
Dualization of Sanubi-Orogun Road Phase 1 (Lot 1-8) in Ugheli North LGA,Infrastructure
Construction of Mother and Child Hospital(Lots 1-3) in Orlu LGA,Infrastructure
Construction of 8km Umuagwo Old Road through Police to Umukenne Phase 1 (Lot 1-3) Ohaji/Egbema LGA,Infrastructure
"Construction of 6km Mgbachi, Uzinaumu, Umuabiahu, Ihitte, Otulu, Umuhu-Umuezem Road with Spur (Lot 1-3) Oguta LGA",Infrastructure
"Construction of Concrete Roads at Opume and Ibelebiri Communities, Ogbia LGA",Infrastructure
"Construction of 7km Aleibiri, Tuomo, Ayamasa Concrete Road (Lot 1-2) Ekeremor LGA",Infrastructure
"Mining of Amethyst, Beryl and Tourmaline (25647 SSML) in Ifelodun LGA",Mining
Development of 100Kwp Solar Mini-Grid each at Akum and Udenin-Gida Communities in Nasarawa LGA,Renewable Energy
Development of 100Kwp Solar Mini-Grid each at Abbare and Mayo-Lope Communities in Lau LGA,Renewable Energy
Exportation of Snails and Periwinkles at Parkview Estate Okota Oshodi-Isolo LGA,Agriculture
Sand Mining Project in Obafemi Owode LGA,Mining
"Solar Mini-Grid Project at Ewohimi, Olinlin, Uroh, Ebulen, Ebun and Ewoiki Communitiesin Esan South-East and Esan North-East LGAs",Renewable Energy
"Construction of a Barge Jetty and Stacking Facilities at Imota-Agbowa, Epe LGA",Infrastructure
"Fifteen (15) Solar Mini-Grid Project in Shadam, Langtang South, Bokkos and Wase LGAs",Renewable Energy
"65km 330kV DC Transmission Line for the Knipp Project in Rano, Bebeji, Garun Mallam, Kura, Madobi, Kumbotso, Tofa and Ungongo LGAs",Power
"Construction of National Control Centre in Dukpa, Gwagwalada Area Council",Infrastructure
"Installation of 60 Tons per hour Palm Oil Mill at Ore, Odigbo LGA",Infrastructure
Exploration for Coal (31469EL)  at Oshimili North LGA,Mining
Lithium / Nobium Ore (39368 SSML) at Karu LGA,Mining
"Development of 100,000 Metric Tonnes Soya Beans and Rice Bran Oil Mill at Danzaki Village, Hadejia Road, Gezawa LGA",Infrastructure
Construction of Filling Station at Kuje Area Council,Infrastructure
"Construction of New Schools, Seventy Five (75) J.SS with three blocks and fifty (55) SSS with four blocks across 44 LGA's ",Infrastructure
"100 Tonnes Paddy Rice/60 Tonnes ParBoiled Rice Mill at Danzaki Village, Hadejia Road, Gezawa LGA",Agriculture
"Production of Four (4) Megawatts Power from Rice Husk and Natural Gas for Internal Consumption at Danzaki Village, Hadejia Road, Gezawa LGA",Agriculture
"Construction of Mother/Child hospital, at Orlu LGA",Infrastructure
"Construction of 6km Mgbachi, Uzinanumu, Umuabiahu, Ihitte, Otulu, Umuhu-Umuezem road, with Spur (Lot 1-3), Oguta",Infrastructure
"Construction of the African Center of Excellence for Drug Research, Herbal Medicine Development and Regulatory Science (ACEDHARS) building at Lagos mainland LGA ",Infrastructure
"Solar Hybrid Mini-Grid Pipeline at Odigbo, Ondo West, Akure North, Ile Oluji/Okeigbo & Ose LGA",Renewable Energy
Solar Hybrid Mini-Grid Pipeline at Ovia South west LGA,Renewable Energy
Construction of Compressed Natural Gas (CNG) Facility and Cylinder Manufacturing Project at  Iwhrekan Ugheli North LGA,Oil & Gas
Liquefied Petroleum Gas (LPG) Bottling and Refilling Plant at Plot 937 Cadastral Zone C16 Idu Industrial Area 1 Abuja,Oil & Gas
"Liquefied Petroleum Gas (LPG) Bottling and Refilling Plant opposite International Conference Center, Bauchi-Gombe Road, Akko LGA",Oil & Gas
Iron Ore Exploration  (26646EL)  in Lokoja LGA,Mining
"Construction of Transit Trailer Parks at Aviele, Etsako West and Ahor, Uhunmwonde LGA's",Infrastructure
Construction of Iru-Egbede Roads Network-Abudu with Drainage at Phase 2 (Lots 1&2) Orhionwhon LGA,Infrastructure
Mining of Lithium and Nobium Ore (39515SSML) in Karu LGA,Mining
"Construction of Evboeghighae-Idunmwunlaka-Otobaiye Road (Phase 1), Orhionwhon LGA",Infrastructure
"Construction of Egbokor-Evbodobian-Adibuohien-Evbuokabua (Phase 1), Orhionwhon LGA",Infrastructure
Exploration of Cassiterite and lithium Ore (39034 EL) in Kuje LGA,Mining
Exploration for Iron-Ore (31698EL) at Okofi LGA,Mining
"BUA Cargo Port in Ntaikang, Ibeno LGA",Infrastructure
Exploration for Iron-Ore (31699EL) at Lokoja-Agbaja LGA,Mining
" Construction of Food Processing Facility at Onicha-Ugbu, Anochia North LGA",Infrastructure
Construction of 4km Agbo Okela to Oscars  Ikare Akoko (Lot 1-3),Infrastructure
"Construction of 2km Oke Igbagbo to Oke Imole Road, Auga Akoko (Lots 1&2)",Infrastructure
Construction and Equipping of Modern Hospital in Okeagbe Akoko (Lot1-2),Infrastructure
Exploration of Iron Ore (31697EL) in Lokoja LGA,Mining
Hybrid Solar Mini Grid in Two Communities  Kalong ( Shendam LGA) and Mararaban Demshin (Quan pan LGA),Renewable Energy
Small Scale Mining/Mining Lease of Lithium Ore (42150SSML) at Nasarawa LGA,Mining
Construction of Ahoada-Omuku Road at Ahoada West LGA,Infrastructure
Construction of Rural Telephony Base Transceiver Stations (Phase 4) 11 BTS Sites across 10  States ,Telecommunications
Sapele North Field Development  in Sapele West LGA,Oil & Gas
Sapele South Field Development  in Sapele LGA,Oil & Gas
Mosogar Field Development in Ethiope west LGA,Oil & Gas
"Ubaleme Field Development, Ohahi/Egbema LGA ",Oil & Gas
50KWp Solar Mini-Grid Power Ndiata Aunomous Community in Obingwa LGA,Renewable Energy
100KWp Isolated Solar Mini-Grid at Item-Amagu Community in Ikwo LGA,Renewable Energy
ATC Nigeria Phase 22 BTS (199 BTS in 21 States and the FCT),Telecommunications
"Power Plant Expansion from 12MW to 50MW in Lekki Free Trade Zone, Ibeju-Lekki, Epe LGA",Power
"Afe Babalola University Free Trade Zone, Ado LGA ",Infrastructure
Wet Gas Processing Plant at Ugheli South LGA,Oil & Gas
"Construction of Food Processing Company at Km 48, Idi Ayunre, Oluyole LGA ",Manufacturing
20 Million Metric tonnes per annum Agro-Allied Chemical Production Facility at Obafemi-Owode LGA,Manufacturing
"AS Energy Pipe Manufacturing Plant in Polaku, Yenagoa LGA",Manufacturing
United Nations Harmony with Nature,Others
"100,000 Barrels per day Modular Refinery in Koko, Warri North LGA ",Oil & Gas
"Kuri Field Development at Warri-North LGA,  ",Oil & Gas
" Perimeter Fencing of 209 Hectares of Land at Aleto, Eleme LGA",Infrastructure
Concession of the Development of 136MW Manya and 182MW Bawarku Hydropower Dam Projects under Public Private Partnership (PPP) Arrangement ,Others
Construction of 155 Schools Across 23 LGAs,Infrastructure
Rehabilitation of 550 Schools Under the Kaduna State AGILE Project ,Infrastructure
"Construction of 20,000 tonnes/year Lubricant Oil Blending Plant in Naibawa Community, Kumbotso LGA",Infrastructure
"Construction of Storage Tank Farm and Formaldehyde Production Factory in Koko Community, Warri North LGA",Infrastructure
"Construction of Compressed Natural Gas (CNG) Plant in Km9 Ibadan-Lagos Expressway, Oba Otudeko Avenue, Olyole LGA, Ibadan",Oil & Gas
Construction of Africa Centre of Excellence on New Pedagogies in Engineering Education (ACENPEE),Infrastructure
OML 118 Bonga Main 4D and Bonga North 3D Ocean Bottom Node (OBN) Seismic Data Acquisition in Deep Offshore ,Oil & Gas
"Construction of 3.65 Km Concrete Road at Umueme Road, Obingwa LGA",Infrastructure
"Dangote Cement plc Obajana Plant Telecom tower at Dangote Cement Obajana Plant Premisis, Lokoja lga",Infrastructure
EIA General: Petrol Filling Stations and Related Projects,Others
3D High Resolution Seismic Data Acquisition Over Adagbasa Project in OML 40 at Warri North Lga,Others
Cumulative Impact Assessment of Lekki Free Trade Zone (LFTZ)  at Ibeju Lekki ,Others
Circular Economy,Others
"Expansion of Century Industrial FZE Factory at Ogun-Guangdong Free Trade Zone (OGFTZ), Igbese, Ado-Odo/Otta Lga",Manufacturing
"Provision of 172kw Mini-Grid Project at Ojeh Community, Dekina Lga; Nep-Performance Based Grant. (Agojeju, Agbada & Ojeh)",Renewable Energy
Tin Ore Exploration and Mining at Shaki East Lga,Mining
"Construction of Ferry Terminals Jetties Shipyard for Vessel Maintenance and Channelization  of Water Routes at Westline (Ebute Ojo-Ebute Ero); Mainland Central Line (Festac-Marina); North Eko District Line (Ikorodu-cms, Marina); North Island Line (Ikorodu-Falomo); Eastline (Badore-Falomo) & North Central Line ",Infrastructure
"Solar Mini-Grid Development in Sabongeri and Kungurki Communities, 
Kaura Namoda LGA",Renewable Energy
"Reconstruction/dualization of the Emohua-Abalama/Tema Junction road in Emohua/Asari-Toru, LGAs and the Extension of Dualization of Ahoada -Omuku Road from Ogbo-Ukodu Road Junction in Ahoada-East and Ogba-Egbema-Ndoni LGAs",Infrastructure
"Construction of Centre of Excellence for Environmental Remediation (CoEER) in Wiiyakara Community, Khana LGA",Oil & Gas
"Solar Hybrid Mini-Grid  project in Ten (10) Sites at Onikoko, Ajambata, Oluke Orile, Oluke Tunutun, Ipaso, Obanlado, Aiyesan, Iwopin, Agbure and Lomiro Communities in Ewekoko and Waterside LGAs ",Renewable Energy
"Solar Hybrid Mini-Grid at Agaliga, Enelie, Ikanekpo and Uferane in Olamaboro and Ankpa LGAs",Renewable Energy
"Solar Hybrid Mini-Grid Project at Zipline Site in Ndok Community, Ogoja LGA",Renewable Energy
Gold Ore Exploration and Mining at Atakunmosa Lga,Mining
" Construction of Poultry Processing Plant (Abattoir) at Ile Ogbo, Ayedire LGA",Infrastructure
Coal Exploration and Mining at Ankpa Lga,Mining
Development of Gas Downstream Project at Eastern Obolo LGA,Oil & Gas
Recreational Hub Development at 52 Kofo Abayomi Street Victoria Island Etiosa Lga,Infrastructure
Construction of Fertilizer Plant in Eastern Obolo LGA,Infrastructure
"Construction, Installation and Operation of deep water port at Eastern Obolo Lga ",Infrastructure
"Construction, Installation and Operation of Gas Processing Plant at Eastern Obolo Lga",Infrastructure
Construction of Polymer Plant in Eastern Obolo LGA,Infrastructure
"100MW Power Distribution project at Lagos Free Zone, Ibeju Lekki LGA",Power
Petrochemical Plant Project at Eastern Obolo LGA,Oil & Gas
Capacity Building on Environmental and Social (E&S) Management for Companies in Nigeria,Others
Silica Sand and Iron Ore Quarry Project (26974QL) at Ogurube Village Ebonyi LGA,Mining
"Lead and Zinc Exploration at Bunga-Didinma Village, Bauchi LGA",Mining
Gold Exploration (31622EL) Project at Shasha Village Ife South LGA ,Mining
Gold Exploration  (31623EL) Project in Okeigbo Village Ife South LGA ,Mining
Gold Exploration (31624EL) in Omisore Village Ife South LGA,Mining
"Construction, Installation and Operation of Liquefied Natural Gas Plant in Eastern Obolo LGA",Oil & Gas
"Malatex 100MW Gas-Fire Combined Cycle Power Plant and Associated infrastructures at Ikot Abasi, Oruk Anam, Ukanafun, Etim Ekpo, Essien Udim and Ikot Ekpene LGAs",Power
"Construction of Battery Manufacturing Plant, Cable Manufacturing Plant and Battery Recycling Plant in Makun Shagamu, Shagamu LGA",Manufacturing
BUA Cement Quarry in Ibese,Mining
Construction of  BUA Cement Plant in Ibese ,Infrastructure
"Provision of Screens along the River Routes at Mpape End of Lower Usuma Dam, Bwari Area Council",Infrastructure
"Construction of 990KW Interconnected Solar Mini-Grid in Lambata, Gurara LGA,",Renewable Energy
"Dredging of San Barth Break Waters, in Akuku Toru LGA",Mining
Gas Pipeline Downstream Gas and Petrochemical in Eastern Obolo LGA,Oil & Gas
"Upgrade of Pesticide Formulation and Repackaging Factory in Ogondele Village, Alomaja, Oluyole LGA",Infrastructure
"Feldspar Stone Quarry at Apata Iyanrun, Near Oosa Village, Ikire Irewole LGA",Mining
"Lead, Zinc and Barite Mining and Processing (29701SSML) in Gabu Community, Yala LGA",Mining
"Kaolin Exploration (31335EL) in Beni Village, Kirfi LGA",Mining
"Copper Exploration (30863EL) in Ungwan Jalatu Village, Kafur LGA",Mining
"Copper Exploration (31225EL) in Maidanga Village, Kebbe LGA",Mining
"Lead and Zinc Exploration (27009EL) in Sabon-Gida Village, Wase LGA",Mining
"300 KWP Solar PV - Diesel Hybrid Project in Institute of Human Virology, Nigeria (IHVN) at Abuja Municipal Area Council",Power
327 KWP Solar PV - Diesel Hybrid at SCL Farms Kwali,Power
"597 KWP Solar Pv - Diesel Hybrid at Valentine Chicken Limited, Ilorin",Power
"112 KWP Solar PV - BESS at Feccox Pharmaceuticals Limited, Ungogo LGA",Power
"410 KWP Solar PV - Diesel Hybrid at Champion Breweries Plc, Uyo",Power
"Librod Solvents and Lube Tank Farm at Ladol Free Zone, Apapa LGA",Infrastructure
"Zircon, Tantalite, Lithium Ore Exploration and Mining (30852 EL) at Ushongo LGA",Mining
  Construction of Rural Telephony Base Transceiver Stations (Phase 5) 25 BTS Sites across 17  States ,Telecommunications
"77MW Combined Cycle Power Plant at Railway Compound Ebute Metta, Lagos Mainland LGA",Power
"Construction of Ibi-Bridge Across River Benue Along Wukari-Ibi-Shendam Road in Ibi Town, Ibi LGA",Infrastructure
"Construction of Industrial Palm Oil Mill , 80 Tons FFB per Hour Palm Oil Mill and 180 Tons per Day Palm Kernel Crushing Plant in Orhionmwon LGA",Agriculture
"Exploration of Barite, Copper, Lead, Zinc and Gold(31541EL) in Keana LGA",Mining
"Exploration of Barite, Copper, Lead, Zinc and Gold (31542EL) in Keana LGA",Mining
Emeabiam Field (OML 53) Development Project in Ohaji/Egbema LGA ,Oil & Gas
Aku Field (OML 53) Development Project in Okigwe LGA,Oil & Gas
 Construction of Aluminium Smelter Plant in Eastern Obolo LGA,Infrastructure
"Expansion of Ilera Agro Processing Plant in Challawa Industrial Estate, Kumbotso LGA",Agriculture
Correspondence with Ministry of Water Resources,Others
Construction of 3.2km Access Road ,Infrastructure
"Construction and Installation of Solar Power Hybrid Mini-Grid in Dambatta, Dawakin Tofa and Bichi LGA",Renewable Energy
Adolescent Girls Initiative for Learning Empowerment in 16 LGAs ,Infrastructure
Tin/Columbite Ore (31498EL) Exploration and Mining at Mangu LGA ,Mining
"Solar Hybrid Mini-Grid at Ise Community in Ibeju, Lekki LGA",Renewable Energy
Expansion at Kiara Rice Milling Plant from 400MTD to 1000MTD at Kpatsuwa Village in Mokwa LGA,Infrastructure
Emergency Comprehensive Maintenance of Eko Bridge Mainland and Island Linkage,Infrastructure
"Okpakia Turu River Dredging, Abuloma, Port Harcourt, ",Mining
"Alternative Crude Evacuation (ACE) in Ahoada East LGA, OML 54",Oil & Gas
"Construction of Rayhaan Cement Plant at Mayalo, Maiyama LGA",Infrastructure
"Kolobiri/Beni Uden Appraisal Well at Sagbama, Kolokuma/Opokuma LGAs",Oil & Gas
"Exploration Licence (40337EL) in Gaube, Kuje Area Council",Mining
 Niger-Benin Export Pipeline on the Niger River,Others
"Emergency Comprehensive Repairs of the Marine Bridge 2.154KM Access Ramps, in Ijora/Apapa Port",Infrastructure
143MWdc Utility Scale Solar Project in Gwagwalada Area Council,Renewable Energy
270MWdc Utility Scale Solar Project in Kwami LGA,Renewable Energy
"174MWdc Utility Scale Project in Geregu, Ajaokuta LGA",Renewable Energy
350MWdc Utility Scale Solar Project in Lafia,Renewable Energy
"24MWdc Utility Scale Solar Project in Ihovbor, uhunmwonde LGA",Renewable Energy
"CONSTRUCTION OF CASHEW NUTS PROCESSING PLANT AT ISOLO INDUSTRIAL SCHEME LAY-OUT, (122-123OSHODI APAPA EXPRESSWAY, LAGOS), OSHODI/ISOLO LGA",Manufacturing
REHABILITATION/ RENOVATION OF 284 SCHOOLS ,Infrastructure
CONSTRUCTION OF 35 JUNIOR AND 15 SENIOR SECONDARY SCHOOLS ,Infrastructure
CONSTRUCTION OF BARO BRIDGE,Infrastructure
"Exploration of Gold, Tourmaline, Topaz, Beryl, Aquamarine (31894) at Kajola  LGA                                                               ",Mining
"1500 Tons Lube Oil Blending Plant in Ozuaha Town, Ikwerre LGA",Infrastructure
Bitumen Mining and Processing at Odogbolu and Epe LGAs ,Mining
Three (3) Solar Mini-Grid Sites at Warri North LGA,Renewable Energy
100KWP Solar Mini- Grid in Abijan Community of Etung LGA,Renewable Energy
"Good Earth Recycling of Pet Bottles and Pet Preforms and Bottles Manufacturing Plant Opposite Zartech, Oluyole Estate Ibadan",Manufacturing
"Flexible Plastic Packaging Production Complex at Plot 5A, Block K, Opposite Zartech, Oluyole Estate, Ibadan",Infrastructure
"Synthetic Polymer and Recycling of Pet and Rigid Packaging Production Complex at Plot 5A, Block K Opposite Zartech, Oluyole Estate,  Ibadan Oluyole LGA ",Infrastructure
"Construction of Airstrip at Lafiagi Puta Road, Lafiagi, Edu LGA",Infrastructure
"Construction of Helipad and Car park at plot 6A/7A Acacia Drive, Osborne Foreshore Phase 2 Ikoyi, Eti-Osa LGA",Infrastructure
 Construction of Rural Telephony Base Transceiver Stations (Phase 1) 50 Sites across 7 States ,Telecommunications
installation of Asu (Oxygen and Nitrogen) Production Plant in Shagamu LGA,Infrastructure
"250 Tones Sugar Processing Factory and Ethanol Plant Project at Lafiagi-Puta Road, Lafiagi LGA ",Manufacturing
"35MW Power Plant and Housing Estate Project at Lafiagi-Puta Road, Lafigi Edu LGA",Power
Exploration of Coal in Igboeze North LGA,Mining
"Exploration of Tantalite, Quamarine and Manganese (2984EL) in Kantagora LGA",Mining
"Surulere Injection Substation 1x20MVA 33/11KV ISS in Randle Close, Surulere LGA",Power
"Akoko Rocks and Mines Stone Quarry Project in Igasi-Akoko/Ajowa-Akoko Road, Akoko North West LGA.",Mining
"Solar Hybrid Mini-Grid Power Plant at Angwan Alhaji, Kadi, Kugu/Bibi, Bandi Majidadi, Dokankarji, Ugama, Zakada(1&2), Agwan Maitandu, Madachi and Agwan-Todo in Kauru LGA ",Renewable Energy
"Rice Milling Facility along Dawakin Kudu - Kano Road, Dawakin - Kudu LGA ",Agriculture
Development of 400kwp Solar Mini-Grid for Moore Community in Baruten LGA,Renewable Energy
Addition of One Pet Bottling/Manufacturing Line with Auxiliary Facility and Utilities Facilities,Manufacturing
Construction of New Schools for Agile Project in 21 LGAs,Infrastructure
"Construction and Operation of Mini Aviation Fuels Depot at Sam Mbakwe International Cargo Airport, Owerri",Oil & Gas
"Solar Mini-Grid Project at Abraham Adesaya Shopping Complex, Ilupeju Model Market, Whitesand-Oyingbo Market and Balogun Ultra- Modern Plaza in Somolu, Mushin, Lagos mainland and Eti-Osa LGAs",Renewable Energy
"Luckychild Carbon Neutral Poultry Farm in Egu-Onwa Ndieguagba Village, Amike Autonomous Community, Ezzangbo, Ohaukwu LGA",Agriculture
Exploration of Cassiterite Ore(41391 EL) in Barkin Ladi LGA,Mining
Exploration of Lithium Ore/Tourmaline Gemstone in Kontgora LGA,Mining
"Mini Aviation Fuel Depot in Bayelsa International Airport, Wilberforce Island, Yenagoa",Oil & Gas
"Development of Interconnected Solar Hybrid Mini-Grid in Gwagwalada, Gwagwalada LGA",Renewable Energy
"Mini Aviation Fuel Depot in Osubi  Airport, Osubi, Okpe LGA",Oil & Gas
"Solar Hybrid Mini-Grid  Across Nine (9)  Communities at Oweikorogha, Anyama, Okodi, Egbedama, Kassikarama, Ikolo, Ikubio, Lobia and Ondewari in Souther Ijaw, Ogbia and Sagbama LGAs",Renewable Energy
"Gold Exploration (38765EL) Danikun Village, Pategi LGA",Mining
"Rice Processing Plant Opposite Dantube Primary School, Kwanar Dawaki, Dawakin Kudu LGA",Infrastructure
"Lead, Zinc and Gold Exploration (31662EL) in Akwana Village Logo LGA",Mining
"Gold Exploration (32962EL) in Kadna Village, Tafa LGA",Mining
Steering Committee for the Development of an Integrated Resource Plan for Nigeria's Power Sector,Others
Insurance Proposal,Others
"LG04 Data Center in Ogombo, Lekki, Eti-Osa LGA",Infrastructure
"Purplelekki Mixed use Development Project Along Freedom Way Lekki, Eti-Osa LGA",Infrastructure
"Gold, Silver, Copper, Lead and Zinc Exploration (31780EL) in Rijau LGA",Mining
"Gold, Silver, Copper, Lead and Zinc Exploration (31781  EL) in Mashegu and Wushishi LGAs",Mining
"Construction of 3 Star Conference Hotel Along Oxbow Lake, Alamieyesegh Road, Yenagoa, Yenagoa LGA",Infrastructure
"Construction of 10000BPD Modular Refinery Plant at Ogbogu Community, (Egi Clan), Ogba/Egbema/Ndoni LGA",Oil & Gas
REHABILITATION OF 1228 SCHOOLS ,Infrastructure
Two (2) Infrastructural Projects of Ministry of Niger Delta Affairs in Ondo State (2023),Renewable Energy
Two (2) Infrastructural Projects of Ministry of Niger Delta Affairs  in Imo State (2023),Infrastructure
One (1) Infrastructural Project of Ministry of Niger Delta Affairs in Abia State (2023),Infrastructure
Six (6) Infrastructural Projects of Ministry of Niger Delta Affairs  in Akwa Ibom State (2023),Infrastructure
One (1) Infrastructural Project of Ministry of Niger Delta Affairs  in Rivers State (2023),Infrastructure
One (1) Infrastructural Project of Ministry of Niger Delta Affairs  in Bayelsa State (2023),Infrastructure
One (1) Infrastructural Projects of Ministry of Niger Delta Affairs  in Edo State (2023),Infrastructure
"Reconstruction of Benin-Warri Dual Carriage Way(Benin-Sapele Km 0+000-Km28+275 and Sapele-Warri Km 29+270-Km 66+800) in Benin, Sapele and Warri",Infrastructure
"Gold Mineral Exploration (31295EL) in Apoje Area, Ijebu-Ode North East",Mining
"Marine Derivatives Terminal at Eastern Axis of Lagos Metropolitan Area, Apapa LGA",Infrastructure
"Afrishine Terminal at Eastern Axis of Lagos Metropolitan Area, Apapa LGA",Infrastructure
"Construction of Presidential Aides Office Complex Shehu Shagari Building, Arms Zone Abuja",Infrastructure
"Construction and Operation of 25,000BPD Modular Refinery in  Urhobo Quarters, Ajagbodudu Oghareki-Oghara, Ethiope-West LGA",Oil & Gas
Dualization of Zaria-Funtua-Shema (Km 0+000-Km 87+575) Shema-Tsafe-Gusau (Km 87+575-Km173+675) and Gusau-Talata Mafara (Colony) (Km 173+675-km267+400) Roads ,Infrastructure
" Construction of Sigma Industrial Park in Kemta-Orile, Ajipatutu Village, Abule-Owu Off Elere Onigbedu Road, Ewekoro LGA ",Infrastructure
Oil Palm Plantation Development in Biase and Akampka LGAs,Agriculture
Installation of 3.1MWp Solar Photovoltaic (PV) System in Aba North LGA,Renewable Energy
"Construction of 132kv Transmission Lines (62km) and Two (2) 60mva Power Station in Wiiyakara and Bodo, Phase 1 of Ogoni Power Project, Khana LGA",Power
Reconstruction and Expansion of Maraba-Keffi Road,Infrastructure
Solar Mini-Grid Development in (Laje and Epe Communities) in Ondo West LGA and Ala Elefosan Community in  Idanre  LGA,Renewable Energy
"Construction and Operation of 40MW Gas-Fire Power Plant in Onne, Eleme LGA",Power
"Construction and Operation of 20MW Gas-Fire Power Plant in Ogbele, Ahoada East LGA",Power
Exploration of Gold (31989EL) in Borgu LGA,Mining
Exploration of Gold (31991EL) in Borgu LGA,Mining
Exploration of Gold (31990EL) in Borgu LGA,Mining
Exploration of Gold (31988EL) in Borgu LGA,Mining
Exploration of Cassiterite and Tantalite Deposit (32042EL) in Karu LGA,Mining
"Exploration of Aquamarine, Emerald, Tourmaline and Columbite (32431El) at Bassa LGA",Mining
Technical Visits,Others
